iter	Logloss
0	0.6644484411
1	0.6338425774
2	0.6110918061
3	0.5929559635
4	0.5706711989
5	0.5495977301
6	0.5271128397
7	0.510665481
8	0.49646606
9	0.4757311021
10	0.4624081275
11	0.4459957169
12	0.4333781352
13	0.4154968246
14	0.4021221121
15	0.380921396
16	0.3685803483
17	0.358907042
18	0.3450946735
19	0.3351278106
20	0.3215390964
21	0.3131690597
22	0.301926472
23	0.2851745198
24	0.2787357058
25	0.2724284715
26	0.2677135018
27	0.2573052234
28	0.2495515325
29	0.2440407821
30	0.233991653
31	0.2280460866
32	0.2211571228
33	0.2166215288
34	0.2069000572
35	0.2008291672
36	0.1939540797
37	0.1904364765
38	0.1839324416
39	0.1797412151
40	0.1732387501
41	0.17008322
42	0.1647182605
43	0.1586069251
44	0.1564641497
45	0.1519378236
46	0.1497666312
47	0.147582935
48	0.1439503575
49	0.1419465459
50	0.1398390264
51	0.137865496
52	0.1357014326
53	0.1337885888
54	0.1300219377
55	0.1266304724
56	0.124907821
57	0.1232539901
58	0.1208637368
59	0.1198140448
60	0.1168685683
61	0.1136768143
62	0.1116419468
63	0.1100150219
64	0.1080662836
65	0.1058086542
66	0.1046135041
67	0.1037747356
68	0.1027073935
69	0.1020649135
70	0.1009005443
71	0.09967494825
72	0.09873550329
73	0.09759783263
74	0.09657375901
75	0.09601680736
76	0.09414057801
77	0.09187508093
78	0.09134810486
79	0.08949042882
80	0.08875921913
81	0.08831217888
82	0.08691292506
83	0.08612856841
84	0.08511671382
85	0.08463241675
86	0.084191163
87	0.08379193207
88	0.0830128692
89	0.08227376378
90	0.08168264136
91	0.08074115459
92	0.07976309033
93	0.07901511621
94	0.07837722862
95	0.07738793088
96	0.07677734477
97	0.07615078035
98	0.07544710213
99	0.07486979956
100	0.07448841031
101	0.07349709299
102	0.07317440608
103	0.07273407905
104	0.07210675482
105	0.07143783064
106	0.07090970663
107	0.07058980965
108	0.07002918342
109	0.06991059735
110	0.06981367264
111	0.06786402245
112	0.06757441728
113	0.06719093084
114	0.06655666226
115	0.06612488727
116	0.06578015321
117	0.06541277605
118	0.06497645078
119	0.06434539448
120	0.06414924222
121	0.06397480122
122	0.06326564033
123	0.0619935854
124	0.06155703455
125	0.0614607339
126	0.06113626053
127	0.0608629635
128	0.06021378499
129	0.05976187688
130	0.0588472418
131	0.0581917775
132	0.05796062215
133	0.05743773368
134	0.05729920768
135	0.05698949509
136	0.05688659002
137	0.05647050907
138	0.05631835499
139	0.0553489587
140	0.05472454686
141	0.05429890133
142	0.05390213347
143	0.05374473203
144	0.05340842136
145	0.05335260752
146	0.05320001246
147	0.05261055505
148	0.05251413908
149	0.05227250911
150	0.05113251355
151	0.05080239132
152	0.05070856435
153	0.05058269359
154	0.05013671784
155	0.05008794487
156	0.04966471801
157	0.04962568237
158	0.04935756312
159	0.04922423341
160	0.04893220414
161	0.04872057224
162	0.0486107869
163	0.04833760393
164	0.04810043555
165	0.04779487864
166	0.04680403617
167	0.04634325018
168	0.04566359253
169	0.0453886768
170	0.04512486462
171	0.04472945561
172	0.04468121576
173	0.04431025965
174	0.0437484791
175	0.04367928521
176	0.04351395343
177	0.04302915495
178	0.04279324682
179	0.04257689586
180	0.04239126806
181	0.04232832549
182	0.04231626225
183	0.04210200395
184	0.04204159347
185	0.04196252081
186	0.0417550255
187	0.04164326879
188	0.04146585458
189	0.04125540696
190	0.04119030814
191	0.04079954861
192	0.04071298853
193	0.04067435484
194	0.04054062148
195	0.04039539923
196	0.0401837633
197	0.04008625688
198	0.04007516108
199	0.03998752383
200	0.03944358527
201	0.03902513996
202	0.03874927629
203	0.03872177422
204	0.03821322189
205	0.0381988396
206	0.03812511851
207	0.03810649395
208	0.03793035868
209	0.03791416195
210	0.03784315167
211	0.03749123914
212	0.03747437602
213	0.0368469569
214	0.03680350834
215	0.03678894829
216	0.03659027367
217	0.03656206375
218	0.03622432045
219	0.03600663208
220	0.03584885423
221	0.03574745796
222	0.03571503089
223	0.03541994174
224	0.03539621968
225	0.03537779601
226	0.03467603959
227	0.03454447788
228	0.03451612215
229	0.03430681014
230	0.03429388398
231	0.03418383451
232	0.03416090856
233	0.03394026249
234	0.03368881151
235	0.03363946374
236	0.0335040164
237	0.03316029924
238	0.03311009451
239	0.03297841275
240	0.03295782079
241	0.03278203166
242	0.03267264292
243	0.03265624782
244	0.03256914491
245	0.03244847128
246	0.03243611126
247	0.03230058914
248	0.03226935151
249	0.03224241948
250	0.03212953024
251	0.03203113408
252	0.03179915444
253	0.03178453749
254	0.03140723906
255	0.03139273151
256	0.03124105214
257	0.03122882778
258	0.03110749173
259	0.03109669015
260	0.03107391575
261	0.03084952769
262	0.03078246214
263	0.03074380261
264	0.03072893292
265	0.03071785472
266	0.03070719812
267	0.03062240109
268	0.03061184466
269	0.03032996353
270	0.03031234524
271	0.03030194619
272	0.03029181098
273	0.03023904862
